epoch,loss,best_loss,cpu_usage,epoch_time
1,0,inf,4.8,554.0926082134247
2,0,inf,80.7,548.6699855327606
3,4.350999771151692,4.350999771151692,81.0,575.5031309127808
4,4.227559375343844,4.227559375343844,79.7,575.6265411376953
5,3.76346128876321,3.76346128876321,79.8,575.4729008674622
6,3.734625961398706,3.734625961398706,79.7,575.2242636680603
7,3.690836144145578,3.690836144145578,79.7,575.3061695098877
8,3.834037676686421,3.690836144145578,79.7,575.2428393363953
9,3.496998827904463,3.496998827904463,79.8,575.0524666309357
10,3.6571611763210967,3.496998827904463,79.7,575.4333002567291
11,3.2818297592457384,3.2818297592457384,79.7,575.5504128932953
12,3.626480958540924,3.2818297592457384,79.7,575.6098599433899
13,3.6621485577197745,3.2818297592457384,79.8,575.0155794620514
14,3.3551148258848116,3.2818297592457384,79.7,574.7604269981384
15,3.2249406604096293,3.2249406604096293,79.7,574.7174725532532
16,3.5168612769339234,3.2249406604096293,79.7,574.5453889369965
17,3.086499461787753,3.086499461787753,79.7,574.70765376091
18,3.4277918273292016,3.086499461787753,79.6,575.0724792480469
19,3.354739523609169,3.086499461787753,79.7,574.2400968074799
20,3.493875172920525,3.086499461787753,79.7,575.1037204265594
SUMMARY,3.086499461787753,3.086499461787753,81.0,11454.951384782791
